,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,8.4,,,312.0,65.7,9.0,84,Brock Purdy QB,475.0,3982.0,,151.1,,,,16.0,-113.0,27
1,25.5,,,1.0,50.0,0.0,51,Deshaunte Jones WR,2.0,51.0,,429.2,,,,1.0,-3.0,1
2,3.5,,,2.0,50.0,0.0,9,Re-al Mitchell QB,4.0,14.0,,161.9,,,,0.0,0.0,1
3,0.0,,,0.0,0.0,0.0,0,Blake Clark QB,1.0,0.0,,0.0,,,,0.0,0.0,0
4,8.4,,,315.0,65.1,9.0,84,Total,484.0,4047.0,,151.4,,,,18.0,-117.0,29
0,,,4.8,,,,75,Breece Hall RB,,,,,,186.0,897.0,,,9
1,,,2.7,,,,44,Brock Purdy QB,,,,,,93.0,249.0,,,8
2,,,4.8,,,,23,Johnnie Lang RB,,,,,,50.0,238.0,,,3
3,,,7.2,,,,19,Kene Nwangwu RB,,,,,,16.0,115.0,,,0
4,,,9.1,,,,29,Re-al Mitchell QB,,,,,,11.0,100.0,,,1
5,,,3.2,,,,14,Sheldon Croney Jr. RB,,,,,,30.0,96.0,,,1
6,,,5.3,,,,13,Jirehl Brock RB,,,,,,9.0,48.0,,,0
7,,,8.0,,,,8,Landen Akers WR,,,,,,1.0,8.0,,,0
8,,,0.8,,,,3,Deshaunte Jones WR,,,,,,4.0,3.0,,,0
9,,,4.2,,,,75,Total,,,,,,412.0,1729.0,,,22
0,,11.5,,,,,84,Deshaunte Jones WR,,,76.0,,877.0,,,,,2
1,,20.6,,,,,73,Tarique Milton WR,,,35.0,,722.0,,,,,3
10,,11.8,,,,,28,Darren Wilson WR,,,5.0,,59.0,,,,,0
11,,6.8,,,,,23,Johnnie Lang RB,,,8.0,,54.0,,,,,1
12,,12.5,,,,,18,Joseph Scates WR,,,2.0,,25.0,,,,,1
13,,8.0,,,,,8,Kene Nwangwu RB,,,1.0,,8.0,,,,,0
14,,3.0,,,,,3,Re-al Mitchell QB,,,1.0,,3.0,,,,,0
15,,12.8,,,,,84,Total,,,315.0,,4047.0,,,,,29
2,,13.7,,,,,49,Charlie Kolar TE,,,51.0,,697.0,,,,,7
3,,12.3,,,,,51,La'Michael Pettway WR,,,55.0,,676.0,,,,,6
4,,11.0,,,,,61,Breece Hall RB,,,23.0,,252.0,,,,,1
5,,15.4,,,,,33,Sean Shaw Jr. WR,,,15.0,,231.0,,,,,5
6,,9.8,,,,,30,Chase Allen TE,,,17.0,,167.0,,,,,2
7,,12.1,,,,,32,Landen Akers WR,,,9.0,,109.0,,,,,0
8,,15.3,,,,,23,Dylan Soehner TE,,,7.0,,107.0,,,,,1
9,,6.0,,,,,15,Sheldon Croney Jr. RB,,,10.0,,60.0,,,,,0
