,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,8.1,,,243.0,64.3,4.0,74,Levi Lewis QB,378.0,3050.0,,152.6,,,,15.0,-131.0,26
1,8.0,,,20.0,71.4,0.0,24,Jai'ave Magalei QB,28.0,224.0,,150.4,,,,0.0,0.0,1
2,5.3,,,3.0,100.0,0.0,9,Chandler Fields QB,3.0,16.0,,144.8,,,,0.0,0.0,0
3,16.0,,,1.0,100.0,0.0,16,Jalen Williams WR,1.0,16.0,,234.4,,,,0.0,0.0,0
4,8.0,,,1.0,100.0,0.0,8,Clifton McDowell QB,1.0,8.0,,167.2,,,,0.0,0.0,0
5,0.0,,,0.0,0.0,0.0,0,-,2.0,0.0,,0.0,,,,0.0,0.0,0
6,8.0,,,268.0,64.9,4.0,74,Total,413.0,3314.0,,151.9,,,,15.0,-131.0,27
0,,,5.8,,,,44,Elijah Mitchell RB,,,,,,198.0,1147.0,,,16
1,,,7.6,,,,83,Raymond Calais RB,,,,,,117.0,886.0,,,6
10,,,-1.0,,,,2,Jai'ave Magalei QB,,,,,,2.0,-2.0,,,0
11,,,-2.4,,,,0,-,,,,,,8.0,-19.0,,,0
12,,,6.3,,,,83,Total,,,,,,574.0,3604.0,,,42
2,,,7.1,,,,75,Trey Ragas RB,,,,,,116.0,820.0,,,11
3,,,10.4,,,,80,Chris Smith RB,,,,,,32.0,334.0,,,4
4,,,2.8,,,,19,Levi Lewis QB,,,,,,69.0,195.0,,,3
5,,,8.9,,,,29,T.J. Wisham RB,,,,,,15.0,133.0,,,0
6,,,6.9,,,,32,Ashton Johnson RB,,,,,,12.0,83.0,,,1
7,,,7.3,,,,16,Michael Orphey Jr. RB,,,,,,3.0,22.0,,,1
8,,,4.0,,,,4,Chandler Fields QB,,,,,,1.0,4.0,,,0
9,,,1.0,,,,1,Nick Ralston TE,,,,,,1.0,1.0,,,0
0,,15.1,,,,,74,Ja'Marcus Bradley WR,,,60.0,,906.0,,,,,10
1,,13.1,,,,,36,Jamal Bell WR,,,34.0,,445.0,,,,,1
10,,10.6,,,,,16,Brian Smith Jr. WR,,,7.0,,74.0,,,,,0
11,,7.0,,,,,31,Elijah Mitchell RB,,,10.0,,70.0,,,,,1
12,,6.7,,,,,34,Raymond Calais RB,,,10.0,,67.0,,,,,1
13,,10.0,,,,,19,Trey Ragas RB,,,6.0,,60.0,,,,,1
14,,9.5,,,,,13,Brandon Legendre WR,,,4.0,,38.0,,,,,0
15,,12.3,,,,,16,Devon Pauley WR,,,3.0,,37.0,,,,,0
16,,9.7,,,,,17,Hunter Bergeron TE,,,3.0,,29.0,,,,,1
17,,11.0,,,,,11,Kaleb Carter WR,,,1.0,,11.0,,,,,0
18,,10.0,,,,,10,Chris Smith RB,,,1.0,,10.0,,,,,0
19,,8.0,,,,,8,Chris Turner TE,,,1.0,,8.0,,,,,0
2,,16.2,,,,,51,Jarrod Jackson WR,,,25.0,,405.0,,,,,0
20,,12.4,,,,,74,Total,,,268.0,,3314.0,,,,,27
3,,12.3,,,,,53,Peter LeBlanc WR,,,28.0,,344.0,,,,,4
4,,13.3,,,,,28,Jalen Williams WR,,,21.0,,279.0,,,,,1
5,,11.9,,,,,43,Calif Gossett WR,,,15.0,,178.0,,,,,0
6,,6.7,,,,,24,Nick Ralston TE,,,15.0,,100.0,,,,,4
7,,8.8,,,,,19,Neal Johnson TE,,,11.0,,97.0,,,,,2
8,,13.2,,,,,24,Cassius Allen WR,,,6.0,,79.0,,,,,1
9,,12.8,,,,,22,Pearse Migl TE,,,6.0,,77.0,,,,,0
