,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,8.2,,,204.0,68.0,5.0,64,Peyton Ramsey QB,300.0,2454.0,,147.7,,,,25.0,-134.0,13
1,8.7,,,110.0,68.8,4.0,75,Michael Penix Jr. QB,160.0,1394.0,,157.6,,,,1.0,-6.0,10
2,49.0,,,1.0,100.0,0.0,49,Donavan Hale WR,1.0,49.0,,841.6,,,,0.0,0.0,1
3,3.1,,,6.0,54.5,0.0,11,Jack Tuttle QB,11.0,34.0,,80.5,,,,1.0,-8.0,0
4,8.3,,,321.0,67.9,9.0,75,Total,473.0,3931.0,,150.6,,,,27.0,-148.0,24
0,,,4.7,,,,57,Stevie Scott III RB,,,,,,178.0,845.0,,,10
1,,,3.4,,,,30,Sampson James RB,,,,,,81.0,275.0,,,3
10,,,1.8,,,,5,Connor Thomas RB,,,,,,6.0,11.0,,,0
11,,,-4.0,,,,0,Peyton Hendershot TE,,,,,,1.0,-4.0,,,0
12,,,-4.0,,,,0,Donavan Hale WR,,,,,,2.0,-8.0,,,0
13,,,3.6,,,,57,Total,,,,,,467.0,1695.0,,,24
2,,,2.6,,,,21,Peyton Ramsey QB,,,,,,97.0,252.0,,,7
3,,,5.4,,,,24,Michael Penix Jr. QB,,,,,,22.0,119.0,,,2
4,,,3.0,,,,15,Ronnie Walker Jr. RB,,,,,,27.0,80.0,,,0
5,,,5.9,,,,17,David Ellis WR,,,,,,9.0,53.0,,,1
6,,,4.3,,,,22,Whop Philyor WR,,,,,,10.0,43.0,,,0
7,,,2.2,,,,6,Jack Tuttle QB,,,,,,9.0,20.0,,,0
8,,,1.9,,,,7,Ahrod Lloyd RB,,,,,,10.0,19.0,,,0
9,,,3.0,,,,5,Cole Gest RB,,,,,,4.0,12.0,,,1
0,,14.3,,,,,56,Whop Philyor WR,,,70.0,,1002.0,,,,,5
1,,12.0,,,,,49,Peyton Hendershot TE,,,52.0,,622.0,,,,,4
10,,8.0,,,,,14,Turon Ivy Jr. TE,,,3.0,,24.0,,,,,0
11,,10.5,,,,,11,Sampson James RB,,,2.0,,21.0,,,,,0
12,,7.5,,,,,13,Gary Cooper TE,,,2.0,,15.0,,,,,0
13,,-0.2,,,,,3,Cole Gest RB,,,5.0,,-1.0,,,,,0
14,,-3.0,,,,,-3,Luke Shayotovich WR,,,1.0,,-3.0,,,,,0
15,,0.0,,,,,0,Michael Penix Jr. QB,,,0.0,,-26.0,,,,,0
16,,12.2,,,,,75,Total,,,321.0,,3931.0,,,,,24
2,,13.4,,,,,46,Ty Fryfogle WR,,,45.0,,604.0,,,,,3
3,,13.6,,,,,75,Nick Westbrook WR,,,42.0,,572.0,,,,,5
4,,17.0,,,,,43,Donavan Hale WR,,,22.0,,373.0,,,,,3
5,,8.1,,,,,23,Stevie Scott III RB,,,26.0,,211.0,,,,,1
6,,12.3,,,,,32,Miles Marshall WR,,,16.0,,196.0,,,,,1
7,,10.8,,,,,39,David Ellis WR,,,16.0,,173.0,,,,,0
8,,9.3,,,,,64,Ronnie Walker Jr. RB,,,12.0,,112.0,,,,,1
9,,5.1,,,,,10,Matt Bjorson TE,,,7.0,,36.0,,,,,1
