,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,8.7,,,205.0,60.7,2.0,86,Jayden Daniels QB,338.0,2943.0,,149.2,,,,32.0,-177.0,17
1,6.6,,,28.0,63.6,2.0,62,Joey Yellen QB,44.0,292.0,,140.3,,,,1.0,-5.0,4
2,8.4,,,233.0,60.8,4.0,86,Total,383.0,3235.0,,147.8,,,,33.0,-182.0,21
0,,,4.3,,,,33,Eno Benjamin RB,,,,,,253.0,1083.0,,,10
1,,,2.8,,,,27,Jayden Daniels QB,,,,,,125.0,355.0,,,3
10,,,3.5,,,,33,Total,,,,,,459.0,1602.0,,,13
2,,,2.6,,,,15,A.J. Carter RB,,,,,,19.0,50.0,,,0
3,,,4.3,,,,10,Isaiah Floyd RB,,,,,,11.0,47.0,,,0
4,,,3.5,,,,13,Kyle Williams WR,,,,,,13.0,46.0,,,0
5,,,5.3,,,,16,Ethan Long QB,,,,,,6.0,32.0,,,0
6,,,2.8,,,,9,Demetrious Flowers RB,,,,,,11.0,31.0,,,0
7,,,6.0,,,,6,Brandon Aiyuk WR,,,,,,1.0,6.0,,,0
8,,,1.0,,,,1,Ricky Pearsall WR,,,,,,1.0,1.0,,,0
9,,,-5.0,,,,0,Joey Yellen QB,,,,,,1.0,-5.0,,,0
0,,18.3,,,,,86,Brandon Aiyuk WR,,,65.0,,1192.0,,,,,8
1,,19.9,,,,,62,Frank Darby WR,,,31.0,,616.0,,,,,8
10,,6.0,,,,,13,Nolan Matthews TE,,,6.0,,36.0,,,,,1
11,,26.0,,,,,26,Case Hatch LB,,,1.0,,26.0,,,,,0
12,,12.5,,,,,16,A.J. Carter RB,,,2.0,,25.0,,,,,0
13,,7.0,,,,,7,Brandon Pierce WR,,,1.0,,7.0,,,,,0
14,,13.9,,,,,86,Total,,,233.0,,3235.0,,,,,21
2,,10.7,,,,,77,Kyle Williams WR,,,45.0,,482.0,,,,,2
3,,8.3,,,,,72,Eno Benjamin RB,,,42.0,,347.0,,,,,2
4,,18.3,,,,,38,Ricky Pearsall WR,,,7.0,,128.0,,,,,0
5,,11.2,,,,,31,Tommy Hudson TE,,,10.0,,112.0,,,,,0
6,,10.4,,,,,28,Geordon Porter WR,,,8.0,,83.0,,,,,0
7,,13.5,,,,,33,Jordan Kerley WR,,,6.0,,81.0,,,,,0
8,,11.6,,,,,16,Curtis Hodges WR,,,5.0,,58.0,,,,,0
9,,10.5,,,,,21,Ryan Newsome WR,,,4.0,,42.0,,,,,0
