,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,7.4,,,237.0,59.4,7.0,75,Nate Stanley QB,399.0,2951.0,,131.2,,,,23.0,-221.0,16
1,2.5,,,6.0,60.0,0.0,9,Spencer Petras QB,10.0,25.0,,81.0,,,,0.0,0.0,0
2,0.0,,,0.0,0.0,0.0,0,Ihmir Smith-Marsette WR,1.0,0.0,,0.0,,,,0.0,0.0,0
3,7.2,,,243.0,59.1,7.0,75,Total,411.0,2976.0,,129.4,,,,23.0,-221.0,16
0,,,4.8,,,,55,Tyler Goodson RB,,,,,,134.0,638.0,,,5
1,,,4.7,,,,30,Mekhi Sargent RB,,,,,,119.0,563.0,,,4
10,,,1.0,,,,1,Spencer Petras QB,,,,,,1.0,1.0,,,1
11,,,0.0,,,,0,Monte Pottebaum LB,,,,,,1.0,0.0,,,0
12,,,0.0,,,,0,Turner Pallissard FB,,,,,,1.0,0.0,,,0
13,,,3.9,,,,55,Total,,,,,,453.0,1789.0,,,17
2,,,5.3,,,,52,Toren Young RB,,,,,,81.0,432.0,,,1
3,,,9.8,,,,45,Ihmir Smith-Marsette WR,,,,,,11.0,108.0,,,3
4,,,6.5,,,,23,Tyrone Tracy Jr. WR,,,,,,6.0,39.0,,,1
5,,,3.8,,,,9,Ivory Kelly-Martin RB,,,,,,6.0,23.0,,,0
6,,,0.1,,,,16,Nate Stanley QB,,,,,,76.0,7.0,,,1
7,,,5.0,,,,5,Oliver Martin WR,,,,,,1.0,5.0,,,0
8,,,0.5,,,,3,Brady Ross FB,,,,,,6.0,3.0,,,1
9,,,2.0,,,,2,Nico Ragaini WR,,,,,,1.0,2.0,,,0
0,,16.4,,,,,58,Ihmir Smith-Marsette WR,,,44.0,,722.0,,,,,5
1,,16.4,,,,,75,Tyrone Tracy Jr. WR,,,36.0,,589.0,,,,,3
10,,12.5,,,,,25,Ivory Kelly-Martin RB,,,2.0,,25.0,,,,,0
11,,7.0,,,,,7,Toren Young RB,,,1.0,,7.0,,,,,0
12,,4.0,,,,,4,Brady Ross FB,,,1.0,,4.0,,,,,0
13,,-3.0,,,,,0,Max Cooper WR,,,1.0,,-3.0,,,,,0
14,,12.2,,,,,75,Total,,,243.0,,2976.0,,,,,16
2,,11.9,,,,,34,Brandon Smith WR,,,37.0,,439.0,,,,,5
3,,9.5,,,,,45,Nico Ragaini WR,,,46.0,,439.0,,,,,2
4,,12.5,,,,,41,Sam LaPorta TE,,,15.0,,188.0,,,,,0
5,,6.9,,,,,31,Tyler Goodson RB,,,24.0,,166.0,,,,,0
6,,9.9,,,,,41,Mekhi Sargent RB,,,14.0,,138.0,,,,,0
7,,16.7,,,,,40,Shaun Beyer TE,,,7.0,,117.0,,,,,0
8,,11.7,,,,,25,Nate Wieting TE,,,10.0,,117.0,,,,,0
9,,5.6,,,,,9,Oliver Martin WR,,,5.0,,28.0,,,,,1
