,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,8.0,,,184.0,63.0,11.0,91,James Blackman QB,292.0,2339.0,,142.0,,,,27.0,-163.0,17
1,8.1,,,84.0,68.9,2.0,64,Alex Hornibrook QB,122.0,986.0,,152.4,,,,20.0,-127.0,7
2,7.2,,,6.0,54.5,0.0,63,Jordan Travis QB,11.0,79.0,,114.9,,,,1.0,-5.0,0
3,8.3,,,4.0,66.7,0.0,18,Cam Akers RB,6.0,50.0,,136.7,,,,0.0,0.0,0
4,25.0,,,1.0,100.0,0.0,25,D.J. Matthews WR,1.0,25.0,,310.0,,,,0.0,0.0,0
5,8.1,,,279.0,64.6,13.0,91,Total,432.0,3479.0,,144.5,,,,48.0,-295.0,24
0,,,5.0,,,,50,Cam Akers RB,,,,,,231.0,1144.0,,,14
1,,,4.7,,,,40,Khalan Laborn RB,,,,,,63.0,297.0,,,4
10,,,2.3,,,,14,Tamorrion Terry WR,,,,,,4.0,9.0,,,0
11,,,9.0,,,,9,Jordan Young WR,,,,,,1.0,9.0,,,0
12,,,-2.4,,,,15,Alex Hornibrook QB,,,,,,29.0,-71.0,,,0
13,,,3.8,,,,66,Total,,,,,,477.0,1829.0,,,24
2,,,9.9,,,,66,Jordan Travis QB,,,,,,23.0,228.0,,,3
3,,,5.0,,,,17,Deonte Sheffield RB,,,,,,27.0,135.0,,,1
4,,,4.4,,,,11,Treshaun Ward RB,,,,,,10.0,44.0,,,0
5,,,0.6000000000000001,,,,35,James Blackman QB,,,,,,68.0,41.0,,,1
6,,,9.5,,,,14,Keyshawn Helton WR,,,,,,2.0,19.0,,,0
7,,,4.5,,,,10,D.J. Matthews WR,,,,,,4.0,18.0,,,0
8,,,7.5,,,,12,Ontaria Wilson WR,,,,,,2.0,15.0,,,1
9,,,2.5,,,,11,Tre'Shaun Harrison WR,,,,,,4.0,10.0,,,0
0,,19.8,,,,,91,Tamorrion Terry WR,,,60.0,,1188.0,,,,,9
1,,9.9,,,,,60,D.J. Matthews WR,,,36.0,,355.0,,,,,3
10,,6.6,,,,,16,Khalan Laborn RB,,,10.0,,66.0,,,,,0
11,,15.3,,,,,29,Jordan Young WR,,,4.0,,61.0,,,,,0
12,,7.2,,,,,24,Camren McDonald TE,,,6.0,,43.0,,,,,0
13,,18.0,,,,,18,Jordan Travis QB,,,1.0,,18.0,,,,,0
14,,6.0,,,,,6,Alex Hornibrook QB,,,1.0,,6.0,,,,,0
15,,2.0,,,,,2,James Blackman QB,,,1.0,,2.0,,,,,0
16,,1.0,,,,,1,Deonte Sheffield RB,,,1.0,,1.0,,,,,0
17,,-1.0,,,,,3,Adarius Dent WR,,,2.0,,-2.0,,,,,0
18,,12.5,,,,,91,Total,,,279.0,,3479.0,,,,,24
2,,10.7,,,,,47,Tre'Shaun Harrison WR,,,27.0,,289.0,,,,,2
3,,10.5,,,,,30,Tre' McKitty TE,,,23.0,,241.0,,,,,0
4,,14.1,,,,,58,Keyshawn Helton WR,,,17.0,,239.0,,,,,3
5,,10.8,,,,,40,Ontaria Wilson WR,,,21.0,,227.0,,,,,1
6,,7.5,,,,,44,Cam Akers RB,,,30.0,,225.0,,,,,4
7,,14.7,,,,,63,Gabe Nabers TE,,,15.0,,221.0,,,,,2
8,,11.6,,,,,49,Keith Gavin WR,,,18.0,,208.0,,,,,0
9,,15.2,,,,,51,Warren Thompson WR,,,6.0,,91.0,,,,,0
