,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,8.4,,,152.0,59.1,8.0,54,Jarrett Guarantano QB,257.0,2158.0,,144.0,,,,15.0,-99.0,16
1,7.2,,,35.0,46.7,5.0,73,Brian Maurer QB,75.0,541.0,,102.7,,,,5.0,-27.0,2
2,6.6,,,13.0,48.1,0.0,55,J.T. Shrout QB,27.0,179.0,,116.1,,,,1.0,-12.0,1
3,0.0,,,0.0,0.0,0.0,0,Jauan Jennings WR,1.0,0.0,,0.0,,,,0.0,0.0,0
4,8.0,,,200.0,55.6,13.0,73,Total,360.0,2878.0,,132.9,,,,21.0,-138.0,19
0,,,4.9,,,,53,Ty Chandler RB,,,,,,135.0,655.0,,,3
1,,,5.3,,,,94,Eric Gray RB,,,,,,101.0,539.0,,,4
10,,,1.3,,,,4,Quavaris Crouch LB,,,,,,7.0,9.0,,,2
11,,,9.0,,,,9,Jacquez Jones WR,,,,,,1.0,9.0,,,0
12,,,5.0,,,,5,Dominick Wood-Anderson TE,,,,,,1.0,5.0,,,0
13,,,2.0,,,,4,Josh Palmer WR,,,,,,2.0,4.0,,,0
14,,,1.3,,,,10,J.T. Shrout QB,,,,,,3.0,4.0,,,0
15,,,4.1,,,,94,Total,,,,,,461.0,1874.0,,,13
2,,,4.1,,,,33,Tim Jordan RB,,,,,,104.0,428.0,,,1
3,,,2.4,,,,23,Brian Maurer QB,,,,,,23.0,56.0,,,2
4,,,1.1,,,,13,Jarrett Guarantano QB,,,,,,49.0,54.0,,,0
5,,,3.9,,,,22,Jauan Jennings WR,,,,,,13.0,51.0,,,1
6,,,4.6,,,,12,Fred Orr RB,,,,,,7.0,32.0,,,0
7,,,12.0,,,,18,Chip Omer RB,,,,,,2.0,24.0,,,0
8,,,6.0,,,,7,James Christian RB,,,,,,2.0,12.0,,,0
9,,,10.0,,,,10,Ramel Keyton WR,,,,,,1.0,10.0,,,0
0,,16.4,,,,,51,Jauan Jennings WR,,,59.0,,969.0,,,,,8
1,,21.2,,,,,73,Marquez Callaway WR,,,30.0,,635.0,,,,,6
10,,15.5,,,,,22,Brandon Johnson WR,,,2.0,,31.0,,,,,0
11,,29.0,,,,,29,Andrew Craig TE,,,1.0,,29.0,,,,,0
12,,5.3,,,,,10,Austin Pope TE,,,4.0,,21.0,,,,,0
13,,7.5,,,,,19,Princeton Fant TE,,,2.0,,15.0,,,,,0
14,,1.0,,,,,1,Jacob Warren TE,,,1.0,,1.0,,,,,0
15,,-2.0,,,,,0,Brian Maurer QB,,,1.0,,-2.0,,,,,0
16,,14.4,,,,,73,Total,,,200.0,,2878.0,,,,,19
2,,13.4,,,,,33,Josh Palmer WR,,,34.0,,457.0,,,,,1
3,,12.8,,,,,54,Dominick Wood-Anderson TE,,,21.0,,268.0,,,,,1
4,,8.8,,,,,23,Eric Gray RB,,,13.0,,115.0,,,,,1
5,,26.0,,,,,46,Ramel Keyton WR,,,4.0,,104.0,,,,,0
6,,13.2,,,,,39,Tyler Byrd WR,,,5.0,,66.0,,,,,1
7,,4.8,,,,,12,Ty Chandler RB,,,13.0,,63.0,,,,,0
8,,15.0,,,,,28,Cedric Tillman WR,,,4.0,,60.0,,,,,1
9,,7.7,,,,,22,Tim Jordan RB,,,6.0,,46.0,,,,,0
