,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,9.2,,,238.0,67.2,3.0,60,Justin Fields QB,354.0,3273.0,,181.4,,,,31.0,-202.0,41
1,6.7,,,26.0,60.5,0.0,38,Chris Chugunov QB,43.0,286.0,,162.4,,,,2.0,-11.0,6
2,17.3,,,6.0,100.0,0.0,61,Gunnar Hoak QB,6.0,104.0,,300.6,,,,2.0,-11.0,1
3,21.0,,,1.0,100.0,0.0,21,Drue Chrisman P,1.0,21.0,,276.4,,,,0.0,0.0,0
4,0.0,,,0.0,0.0,0.0,0,-,2.0,0.0,,0.0,,,,0.0,0.0,0
5,9.1,,,271.0,66.7,3.0,61,Total,406.0,3684.0,,180.5,,,,35.0,-224.0,48
0,,,6.7,,,,68,J.K. Dobbins RB,,,,,,301.0,2003.0,,,21
1,,,5.8,,,,73,Master Teague III RB,,,,,,135.0,789.0,,,4
10,,,-2.5,,,,1,Chris Chugunov QB,,,,,,4.0,-10.0,,,0
11,,,-2.2,,,,0,-,,,,,,16.0,-35.0,,,0
12,,,5.6,,,,73,Total,,,,,,663.0,3735.0,,,39
2,,,3.5,,,,51,Justin Fields QB,,,,,,137.0,484.0,,,10
3,,,9.5,,,,53,Marcus Crowley RB,,,,,,25.0,237.0,,,1
4,,,7.1,,,,15,Steele Chambers RB,,,,,,19.0,135.0,,,1
5,,,6.8,,,,32,Demario McCall RB,,,,,,18.0,122.0,,,2
6,,,10.0,,,,10,Amari McMahon RB,,,,,,1.0,10.0,,,0
7,,,2.5,,,,4,Chris Olave WR,,,,,,2.0,5.0,,,0
8,,,1.0,,,,1,K.J. Hill WR,,,,,,1.0,1.0,,,0
9,,,-1.5,,,,3,Gunnar Hoak QB,,,,,,4.0,-6.0,,,0
0,,17.3,,,,,58,Chris Olave WR,,,49.0,,849.0,,,,,12
1,,11.2,,,,,53,K.J. Hill WR,,,57.0,,636.0,,,,,10
10,,8.5,,,,,32,Jaelen Gill WR,,,6.0,,51.0,,,,,1
11,,7.0,,,,,11,Demario McCall RB,,,4.0,,28.0,,,,,0
12,,28.0,,,,,28,Jashon Cornell DT,,,1.0,,28.0,,,,,0
13,,10.0,,,,,16,Rashod Berry TE,,,2.0,,20.0,,,,,0
14,,6.5,,,,,9,Jake Hausmann TE,,,2.0,,13.0,,,,,1
15,,11.0,,,,,11,Sam Wiglusz WR,,,1.0,,11.0,,,,,0
16,,10.0,,,,,10,Ellijah Gardiner WR,,,1.0,,10.0,,,,,0
17,,8.0,,,,,8,Mitch Rossi RB,,,1.0,,8.0,,,,,0
18,,7.0,,,,,7,Marcus Crowley RB,,,1.0,,7.0,,,,,1
19,,5.0,,,,,5,Jaylen Harris WR,,,1.0,,5.0,,,,,0
2,,16.0,,,,,60,Binjimen Victor WR,,,34.0,,545.0,,,,,6
20,,13.6,,,,,61,Total,,,271.0,,3684.0,,,,,48
3,,14.4,,,,,47,Garrett Wilson WR,,,30.0,,432.0,,,,,5
4,,13.4,,,,,38,Austin Mack WR,,,27.0,,361.0,,,,,3
5,,10.7,,,,,28,J.K. Dobbins RB,,,23.0,,247.0,,,,,2
6,,10.1,,,,,25,Jeremy Ruckert TE,,,14.0,,142.0,,,,,4
7,,17.0,,,,,22,Luke Farrell TE,,,7.0,,119.0,,,,,2
8,,18.7,,,,,61,Jameson Williams WR,,,6.0,,112.0,,,,,1
9,,15.0,,,,,28,Master Teague III RB,,,4.0,,60.0,,,,,0
