,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,6.9,,,255.0,63.0,10.0,96,Steven Montez QB,405.0,2808.0,,130.1,,,,20.0,-130.0,17
1,38.0,,,1.0,100.0,0.0,38,K.D. Nixon WR,1.0,38.0,,749.2,,,,0.0,0.0,1
2,4.0,,,1.0,33.3,1.0,12,Blake Stenstrom QB,3.0,12.0,,0.30000000000000004,,,,0.0,0.0,0
3,0.0,,,0.0,0.0,0.0,0,Tyler Lytle QB,1.0,0.0,,0.0,,,,1.0,-1.0,0
4,0.0,,,0.0,0.0,0.0,0,-,1.0,0.0,,0.0,,,,0.0,0.0,0
5,7.0,,,257.0,62.5,11.0,96,Total,411.0,2858.0,,130.0,,,,21.0,-131.0,18
0,,,4.7,,,,32,Alex Fontenot RB,,,,,,185.0,874.0,,,5
1,,,4.1,,,,19,Jaren Mangham RB,,,,,,107.0,441.0,,,3
10,,,2.2,,,,7,Joe Davis RB,,,,,,6.0,13.0,,,0
11,,,-1.0,,,,0,Tyler Lytle QB,,,,,,1.0,-1.0,,,0
12,,,-1.3,,,,0,-,,,,,,9.0,-12.0,,,0
13,,,4.1,,,,32,Total,,,,,,436.0,1804.0,,,14
2,,,7.0,,,,23,Laviska Shenault Jr. WR,,,,,,23.0,161.0,,,2
3,,,2.4,,,,20,Steven Montez QB,,,,,,65.0,153.0,,,3
4,,,3.0,,,,18,Deion Smith RB,,,,,,23.0,68.0,,,0
5,,,5.5,,,,15,Tony Brown WR,,,,,,6.0,33.0,,,1
6,,,27.0,,,,27,Blake Stenstrom QB,,,,,,1.0,27.0,,,0
7,,,3.8,,,,12,K.D. Nixon WR,,,,,,5.0,19.0,,,0
8,,,3.5,,,,8,Dimitri Stanley WR,,,,,,4.0,14.0,,,0
9,,,14.0,,,,14,Jaylon Jackson WR,,,,,,1.0,14.0,,,0
0,,13.6,,,,,71,Laviska Shenault Jr. WR,,,56.0,,764.0,,,,,4
1,,12.6,,,,,49,Tony Brown WR,,,56.0,,707.0,,,,,5
10,,7.0,,,,,20,Deion Smith RB,,,4.0,,28.0,,,,,0
11,,3.0,,,,,8,Maurice Bell WR,,,2.0,,6.0,,,,,0
12,,2.0,,,,,2,Beau Bisharat TE,,,1.0,,2.0,,,,,0
13,,11.1,,,,,96,Total,,,257.0,,2858.0,,,,,18
2,,13.3,,,,,96,K.D. Nixon WR,,,35.0,,465.0,,,,,3
3,,10.8,,,,,38,Dimitri Stanley WR,,,29.0,,312.0,,,,,2
4,,9.6,,,,,27,Brady Russell TE,,,23.0,,221.0,,,,,2
5,,4.5,,,,,19,Alex Fontenot RB,,,27.0,,122.0,,,,,0
6,,19.3,,,,,57,Jaylon Jackson WR,,,4.0,,77.0,,,,,0
7,,20.7,,,,,29,Daniel Arias WR,,,3.0,,62.0,,,,,1
8,,7.3,,,,,23,Jalen Harris TE,,,7.0,,51.0,,,,,1
9,,4.1,,,,,17,Jaren Mangham RB,,,10.0,,41.0,,,,,0
