,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,8.1,,,236.0,64.3,5.0,80,J'Mar Smith QB,367.0,2977.0,,145.9,,,,25.0,-140.0,18
1,5.9,,,43.0,57.3,1.0,42,Aaron Allen QB,75.0,446.0,,117.8,,,,3.0,-21.0,3
2,4.8,,,6.0,42.9,4.0,19,Westin Elliott QB,14.0,67.0,,25.9,,,,1.0,-3.0,0
3,0.0,,,0.0,0.0,0.0,0,Adrian Hardy WR,1.0,0.0,,0.0,,,,0.0,0.0,0
4,7.6,,,285.0,62.2,10.0,80,Total,458.0,3490.0,,137.0,,,,29.0,-164.0,21
0,,,5.6,,,,75,Justin Henderson RB,,,,,,188.0,1062.0,,,15
1,,,5.2,,,,54,Israel Tucker RB,,,,,,65.0,340.0,,,2
10,,,0.2,,,,6,Aaron Allen QB,,,,,,13.0,3.0,,,0
11,,,-5.0,,,,0,Westin Elliott QB,,,,,,2.0,-10.0,,,0
12,,,-12.0,,,,0,Brady Farlow PK,,,,,,1.0,-12.0,,,0
13,,,4.6,,,,75,Total,,,,,,475.0,2189.0,,,27
2,,,2.6,,,,34,J'Mar Smith QB,,,,,,100.0,264.0,,,4
3,,,4.7,,,,31,Jaqwis Dancy RB,,,,,,44.0,207.0,,,2
4,,,7.9,,,,41,DeAndre Marcus RB,,,,,,26.0,205.0,,,1
5,,,5.5,,,,16,Smoke Harris WR,,,,,,11.0,61.0,,,1
6,,,6.1,,,,15,Jawaun Johnson WR,,,,,,8.0,49.0,,,1
7,,,9.7,,,,14,Elijah Hines RB,,,,,,3.0,29.0,,,0
8,,,9.0,,,,14,Wayne Toussant WR,,,,,,2.0,18.0,,,0
9,,,2.6,,,,7,Bobby Holly FB,,,,,,5.0,13.0,,,1
0,,16.2,,,,,56,Malik Stanley WR,,,40.0,,649.0,,,,,3
1,,17.9,,,,,70,Griffin Hebert WR,,,30.0,,537.0,,,,,6
10,,36.0,,,,,36,Joshua Matthews WR,,,1.0,,36.0,,,,,0
11,,14.5,,,,,16,Tahj Magee WR,,,2.0,,29.0,,,,,1
12,,13.0,,,,,20,Wayne Toussant WR,,,2.0,,26.0,,,,,0
13,,6.0,,,,,9,DeAndre Marcus RB,,,2.0,,12.0,,,,,0
14,,8.0,,,,,8,Jacob Adams FB,,,1.0,,8.0,,,,,0
15,,5.0,,,,,5,Javonte Woodard WR,,,1.0,,5.0,,,,,0
16,,12.2,,,,,80,Total,,,285.0,,3490.0,,,,,21
2,,12.7,,,,,41,Adrian Hardy WR,,,42.0,,534.0,,,,,1
3,,11.3,,,,,55,Cee Jay Powell WR,,,43.0,,488.0,,,,,1
4,,19.0,,,,,80,Isaiah Graham WR,,,21.0,,398.0,,,,,4
5,,7.4,,,,,27,Smoke Harris WR,,,47.0,,348.0,,,,,2
6,,8.3,,,,,30,Justin Henderson RB,,,24.0,,200.0,,,,,1
7,,8.4,,,,,26,Israel Tucker RB,,,13.0,,109.0,,,,,1
8,,7.2,,,,,13,Jaqwis Dancy RB,,,9.0,,65.0,,,,,0
9,,6.6,,,,,17,Bobby Holly FB,,,7.0,,46.0,,,,,1
