,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,8.1,,,158.0,65.6,5.0,54,Davis Mills QB,241.0,1960.0,,144.8,,,,13.0,-65.0,11
1,6.2,,,102.0,61.1,3.0,79,K.J. Costello QB,167.0,1038.0,,121.6,,,,8.0,-38.0,6
2,4.5,,,15.0,46.9,0.0,35,Jack West QB,32.0,143.0,,84.4,,,,8.0,-39.0,0
3,8.0,,,1.0,100.0,0.0,8,Colby Parkinson TE,1.0,8.0,,497.2,,,,0.0,0.0,1
4,7.1,,,276.0,62.2,8.0,79,Total,444.0,3149.0,,131.5,,,,29.0,-142.0,18
0,,,4.2,,,,45,Cameron Scarlett RB,,,,,,201.0,840.0,,,7
1,,,5.0,,,,35,Austin Jones RB,,,,,,45.0,227.0,,,1
2,,,3.4,,,,11,Dorian Maddox RB,,,,,,22.0,75.0,,,0
3,,,6.3,,,,14,Nathaniel Peat RB,,,,,,9.0,57.0,,,0
4,,,1.4,,,,17,Davis Mills QB,,,,,,32.0,44.0,,,0
5,,,10.0,,,,17,Connor Wedington WR,,,,,,3.0,30.0,,,0
6,,,1.3,,,,14,K.J. Costello QB,,,,,,18.0,24.0,,,0
7,,,6.0,,,,8,Osiris St. Brown WR,,,,,,2.0,12.0,,,0
8,,,-2.3,,,,7,Jack West QB,,,,,,12.0,-28.0,,,0
9,,,3.7,,,,45,Total,,,,,,346.0,1266.0,,,8
0,,12.0,,,,,47,Michael Wilson WR,,,56.0,,672.0,,,,,5
1,,12.3,,,,,36,Colby Parkinson TE,,,48.0,,589.0,,,,,1
10,,7.5,,,,,16,Tucker Fisk TE,,,4.0,,30.0,,,,,0
11,,5.8,,,,,12,Scooter Harrington TE,,,4.0,,23.0,,,,,0
12,,7.3,,,,,14,Brycen Tremayne WR,,,3.0,,22.0,,,,,3
13,,2.8,,,,,8,Jay Symonds FB,,,4.0,,11.0,,,,,0
14,,8.0,,,,,8,Davis Mills QB,,,1.0,,8.0,,,,,1
15,,1.0,,,,,4,Houston Heimuli FB,,,3.0,,3.0,,,,,0
16,,-12.0,,,,,0,K.J. Costello QB,,,1.0,,-12.0,,,,,0
17,,11.4,,,,,79,Total,,,276.0,,3149.0,,,,,18
2,,23.6,,,,,79,Simi Fehoko WR,,,24.0,,566.0,,,,,6
3,,9.9,,,,,43,Connor Wedington WR,,,51.0,,506.0,,,,,1
4,,9.7,,,,,31,Osiris St. Brown WR,,,27.0,,263.0,,,,,0
5,,9.6,,,,,26,Cameron Scarlett RB,,,25.0,,240.0,,,,,0
6,,7.7,,,,,24,Austin Jones RB,,,14.0,,108.0,,,,,0
7,,8.6,,,,,21,Nathaniel Peat RB,,,5.0,,43.0,,,,,0
8,,40.0,,,,,40,Donald Stewart WR,,,1.0,,40.0,,,,,1
9,,9.3,,,,,27,Dorian Maddox RB,,,4.0,,37.0,,,,,0
