,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,6.1,,,107.0,53.2,5.0,75,Lowell Narcisse QB,201.0,1226.0,,112.6,,,,18.0,-90.0,8
1,5.3,,,66.0,72.5,2.0,37,Frank Harris QB,91.0,486.0,,123.9,,,,9.0,-36.0,3
2,6.8,,,38.0,57.6,3.0,40,Jordan Weeks QB,66.0,451.0,,115.9,,,,3.0,-23.0,2
3,22.0,,,1.0,100.0,0.0,22,Lucas Dean P,1.0,22.0,,284.8,,,,0.0,0.0,0
4,0.8,,,1.0,20.0,1.0,4,Cordale Grundy QB,5.0,4.0,,-13.3,,,,1.0,-9.0,0
5,0.0,,,0.0,0.0,0.0,0,Sheldon Jones WR,1.0,0.0,,0.0,,,,0.0,0.0,0
6,0.0,,,0.0,0.0,0.0,0,-,1.0,0.0,,0.0,,,,0.0,0.0,0
7,6.0,,,213.0,58.2,11.0,75,Total,366.0,2189.0,,114.1,,,,31.0,-158.0,13
0,,,5.6,,,,54,Sincere McCormick RB,,,,,,177.0,983.0,,,8
1,,,4.2,,,,42,Lowell Narcisse QB,,,,,,118.0,492.0,,,4
10,,,-9.0,,,,0,Dadrian Taylor S,,,,,,1.0,-9.0,,,0
11,,,-4.2,,,,0,-,,,,,,10.0,-42.0,,,0
12,,,4.3,,,,54,Total,,,,,,453.0,1950.0,,,15
2,,,4.2,,,,24,Brenden Brady RB,,,,,,67.0,284.0,,,2
3,,,3.2,,,,24,Frank Harris QB,,,,,,39.0,126.0,,,0
4,,,5.5,,,,18,B.J. Daniels RB,,,,,,11.0,60.0,,,0
5,,,4.3,,,,13,Deven Boston RB,,,,,,14.0,60.0,,,1
6,,,4.5,,,,7,Dywan Griffin WR,,,,,,2.0,9.0,,,0
7,,,-1.0,,,,4,Cordale Grundy QB,,,,,,3.0,-3.0,,,0
8,,,-4.0,,,,0,Sheldon Jones WR,,,,,,1.0,-4.0,,,0
9,,,-0.6000000000000001,,,,9,Jordan Weeks QB,,,,,,10.0,-6.0,,,0
0,,12.9,,,,,51,Carlos Strickland II TE,,,38.0,,492.0,,,,,4
1,,12.9,,,,,65,Zakhari Franklin WR,,,38.0,,491.0,,,,,3
10,,14.0,,,,,37,Leroy Watson TE,,,4.0,,56.0,,,,,1
11,,8.5,,,,,15,Kirk Johnson Jr. WR,,,4.0,,34.0,,,,,0
12,,3.7,,,,,10,Dywan Griffin WR,,,7.0,,26.0,,,,,0
13,,22.0,,,,,22,Rashad Wisdom S,,,1.0,,22.0,,,,,0
14,,3.5,,,,,6,Deven Boston RB,,,2.0,,7.0,,,,,0
15,,5.0,,,,,5,De'Corian Clark WR,,,1.0,,5.0,,,,,0
16,,10.3,,,,,75,Total,,,213.0,,2189.0,,,,,13
2,,8.4,,,,,36,Sheldon Jones WR,,,31.0,,259.0,,,,,0
3,,8.1,,,,,44,Sincere McCormick RB,,,24.0,,194.0,,,,,1
4,,19.1,,,,,75,Joshua Cephus WR,,,8.0,,153.0,,,,,1
5,,8.2,,,,,23,Brenden Brady RB,,,14.0,,115.0,,,,,0
6,,11.7,,,,,25,Tariq Woolen WR,,,9.0,,105.0,,,,,0
7,,6.6,,,,,18,Blaze Moorhead WR,,,15.0,,99.0,,,,,1
8,,6.7,,,,,15,Gavin Sharp TE,,,11.0,,74.0,,,,,1
9,,9.5,,,,,36,Tykee Ogle-Kellogg WR,,,6.0,,57.0,,,,,1
