,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,7.6,,,88.0,57.5,5.0,47,Garrett Shrader QB,153.0,1170.0,,132.5,,,,15.0,-84.0,8
1,7.2,,,97.0,60.2,5.0,88,Tommy Stevens QB,161.0,1155.0,,136.8,,,,16.0,-109.0,11
2,8.0,,,1.0,100.0,0.0,8,Logan Burnett QB,1.0,8.0,,167.2,,,,0.0,0.0,0
3,7.4,,,186.0,59.0,10.0,88,Total,315.0,2333.0,,134.8,,,,31.0,-193.0,19
0,,,5.6,,,,62,Kylin Hill RB,,,,,,242.0,1350.0,,,10
1,,,5.2,,,,49,Garrett Shrader QB,,,,,,113.0,587.0,,,6
10,,,5.4,,,,62,Total,,,,,,529.0,2868.0,,,27
2,,,7.9,,,,47,Nick Gibson RB,,,,,,55.0,433.0,,,6
3,,,4.6,,,,46,Tommy Stevens QB,,,,,,83.0,381.0,,,4
4,,,4.6,,,,22,Lee Witherspoon RB,,,,,,22.0,101.0,,,1
5,,,11.0,,,,11,JaVonta Payton WR,,,,,,1.0,11.0,,,0
6,,,5.0,,,,5,Deddrick Thomas WR,,,,,,1.0,5.0,,,0
7,,,4.0,,,,4,Tucker Day P,,,,,,1.0,4.0,,,0
8,,,1.3,,,,2,Malik Dear WR,,,,,,3.0,4.0,,,0
9,,,1.3,,,,4,Isaiah Zuber WR,,,,,,3.0,4.0,,,0
0,,14.8,,,,,35,Osirus Mitchell WR,,,29.0,,430.0,,,,,6
1,,13.4,,,,,42,Deddrick Thomas WR,,,30.0,,401.0,,,,,2
10,,8.5,,,,,24,Nick Gibson RB,,,4.0,,34.0,,,,,0
11,,10.7,,,,,13,Geor'quarius Spivey TE,,,3.0,,32.0,,,,,0
12,,6.3,,,,,12,Lee Witherspoon RB,,,3.0,,19.0,,,,,0
13,,8.0,,,,,8,Brad Cumbest TE,,,2.0,,16.0,,,,,0
14,,8.0,,,,,8,Keytaon Thompson QB,,,1.0,,8.0,,,,,0
15,,7.0,,,,,7,Cameron Gardner WR,,,1.0,,7.0,,,,,0
16,,5.0,,,,,5,Robert Rivers RB,,,1.0,,5.0,,,,,0
17,,12.5,,,,,88,Total,,,186.0,,2333.0,,,,,19
2,,12.9,,,,,32,Stephen Guidry WR,,,30.0,,387.0,,,,,5
3,,12.2,,,,,47,Farrod Green TE,,,21.0,,257.0,,,,,1
4,,15.1,,,,,38,Isaiah Zuber WR,,,14.0,,211.0,,,,,2
5,,10.0,,,,,88,Kylin Hill RB,,,18.0,,180.0,,,,,1
6,,16.3,,,,,34,JaVonta Payton WR,,,9.0,,147.0,,,,,0
7,,10.8,,,,,28,Austin Williams WR,,,11.0,,119.0,,,,,2
8,,7.3,,,,,14,Dontea Jones TE,,,6.0,,44.0,,,,,0
9,,12.0,,,,,20,Malik Dear WR,,,3.0,,36.0,,,,,0
